,Name,Date,Review,Rating,Developer,Site
353,Татьяна Белова,2019-09-29,"Не довольна компанией.Разочаровало очень (Дом не успели сдать вовремя,звоним в отдел заселения они ничего не знают.Не могут сказать срок на который задерживают стройку.Не рекомендую этого застройщика",2.0,samolet,novostroy
354,Инна,2019-09-26,"Успели забронировать и оформить покупку двухкомнатной квартиры с 5 процентной скидкой в квартале Некрасовка на втором этаже в квартале 7. Я после проживания в однушке на 10-м этаже десятиэтажки, просто счастлива. Наш дом еще не сдан, но строительство идет активно, мы с мужем наблюдаем. Новостройка Некрасовка понравилась в первую очередь расположением — юговосток Москвы, этот район муж считает перспективным. Конечно же, сыграли роль и другие факты — за 6 минут быстрым шагом можно дойти до метро Некрасовка, Садовое кольцо недалеко, дворы домов будут без машин. К несомненным плюсам относим то, что регистрация московская в этом районе, стоимость жилья подъемная для нас, да еще приятно, что готовая отделка квартиры вошла в общую стоимость жилья. Мы с мужем не из тех, кто заморачивается модными дизайнами интерьеров. Для нас главное — аккуратно, удобно, чисто. Минимум деталей, мебели и всего прочего. В нашем жилье подразумевается классическая отделка и нас это вполне устраивает.",5.0,samolet,novostroy
355,Сергей,2019-09-20,"Ну что могу сказать об этом застройщике? Действительно надежный и ответственный. Строит хорошие дома, заботится о будущих жильцах, делает нормальные дворы с площадками, всегда крупные комплексы с детскими садами и школами, как только сдаются первые дома, тут же открываются магазины, кафе, аптеки и прочее. Даже если берешь жилье не в Москве, нет ощущения, что где-то на отшибе живешь без инфраструктуры.",5.0,samolet,novostroy
356,Пользователь,2019-09-13,"Квартиру у застройщика Самолет Девелопмент решили покупать только потому, что он уже проверенный, надежный и известный. Страшно в условиях нашего рынка брать недвижимость у неизвестных компаний, даже если они уже строят несколько домов. Достроят ли непонятно. А тут все заранее в принципе известно. Нет резона не доверять таким компаниям.",5.0,samolet,novostroy
357,Аппас Сулайманов Сулайманов,2019-09-09,"Брали квартиру в 2016 году , сдали в положенном сроке, все прекрасно дворы обстроены , чисто аккуратно , грех жаловаться, менеджерам огромное спасибо за то что уговорили и предложили взять квартиру здесь",5.0,samolet,novostroy
358,Валерий,2019-09-08,"Что требуется от застройщика? Чтобы строил в срок, из качественных материалов, чтобы в домах не было проблем с коммуникациями, чтобы подъезды были, площадки, если район большой, то чтобы детские сады и школы открывались. Самолет со всеми задачами справляется. Это показывает и наш личный опыт, квартиру купили в ЖК Люберцы, и опыт знакомых (они в разных ЖК этого застройщика живут).",5.0,samolet,novostroy
359,Анна,2019-09-03,"Компания все время врет про заселение. Сдался объект Томилино, у меня первая очередь. Звоню больше месяца каждую неделю, каждую неделю сдачу квартиры переносят на следующую неделю. Не извиняются, ничего, просто бескончено футболят. Больше никогда не куплю объект у Самолет Девелопмент. Также готовлю жалобу в суд, если квартира не сдастся до 30 сентября.",1.0,samolet,novostroy
360,guest,2019-09-02,"Застройщиков то вроде полно, но у всех вечно какие-то проблемы. Одни квартиры по диким ценам предлагают, другие строят только в одном районе, который нам не подходит, третьи работают только с одним-двумя банками по ипотеке. Самолет вот понравился - стройки в разных районах, разные планировки, хорошая сразу отделка в цену включена, ипотеку можно взять не только в Сбере.",5.0,samolet,novostroy
361,guest,2019-09-01,"Самолет Девелопмент работает по ипотеке с большим количеством банков. Уже это для меня лично являлось весомым доводом в пользу покупки квартиры у застройщика. Банки с осторожностью выбирают партнеров в таком деле. Если уж они доверяют компании, то и я доверился. Понравилось и то, что ставка по ипотеке не 12, а 9%. Переплата уже меньше, уже экономия.",5.0,samolet,novostroy
362,Алексей,2019-08-30,"Честно скажу - жилье в Пригороде лесном брали, потому что как раз нам по финансам выходило. Но при этом в жк было из чего выбирать в смысле планировок. В офисе по продажам ребята приветливые, спокойные, помогали нам в долгом выборе, еще и кофе предложили. Приятная атмосфера. Выбрали мы трехкомнатную квартиру, 75 жилых метров, в 8 корпусе. Отделка приличная, планировка удобная. Никакой мороки тебе. Есть уже в квартире и межкомнатные двери, и сантехника вся. Стены ровные, цвет штукатурки подобран приятный, ненавязчивый, классический. К потолкам претензий нет. Короче, заезжай и живи. Да, на счет транспорта, конечно проблемка имеется, когда в час пик с 8 до 9 утра народ едет в город на работу и по другим делам. Но конкретно для нашей семьи это не важно. Оба с женой работаем удаленно, так что в офис каждый день нет нужды ехать. А так после 9 утра или рано до 7 часов едешь себе без проблем.",5.0,samolet,novostroy
363,Вадим,2019-08-23,"Мы когда с женой квартиру искали, читали про кучу комплексов и застройщиков. И сразу как-то оба пришли к выводу, что нужно брать в Самолете. Этот застройщик и работает давно, и цены адекватные на жилье, и вариантов много, при чем расходятся они как горячие пирожки (для нас это показатель того, что не мы одни заинтересованы и значит как вроде доверяют компании). Купили и не пожалели. Правда пока еще не переехали, но уже ездили несколько раз, смотрели квартиру, район, все так, как мы и хотели.",5.0,samolet,novostroy
364,Алена,2019-08-22,"45 корпус Люберец будет сдаваться с опозданием. Какая будет просрочка - неизвестно. Сдача 30.08 - ни слуху, ни духу",1.0,samolet,novostroy
365,Пользователь,2019-08-21,"Не советую заключать ДДУ с Самолет Девелопмент. Сроки не соблюдают. ""Отделка"" ужасная. Сотрудники грубые. Такого неуважительного отношения к покупателем более ни с одним застройщиком не встречали (4-я квартира)",1.0,samolet,novostroy
366,Виталий,2019-08-17,"У этого застройщика покупали квартиры уже 3 знакомые семьи, мы получается 4-ые. Никогда ни у кого не возникало претензий по таким вопросам, как сроки сдачи или качество отделки (все так получилось квартиры именно с отделкой брали). Стоимость жилья оправдывается полностью, нет ощущения, что ты за что-то переплатил.",5.0,samolet,novostroy
367,Мила,2019-08-12,"Интересовало жилье Прагматик класса, поэтому рассматривали варианты жк только такие. в процессе поиска и раздумывания, пересеклись со знакомые, которые купили квартиру в ЖК Люберцы. Посоветовали нам рассмотреть как вариант квартиру в этом жк и при этом сказали, что застройщик нормальный. Через время мы все-таки решили купить трехкомнатную в ЖК Люберцы, они правы, отличное жк, хорошее расположение и цена нормальная. Препятствий при оформлении не возникло, все оперативно.",5.0,samolet,novostroy
368,Евгений,2019-08-06,"Покупал кввартиру в 2018 году в Люберцах 46 корпус обещали отдать при покупке в феврале потом в мае сейчас август обещают до 30 получу вот так и кормят, и с квадратными метрами тоже на сайте когда выбирал было 64 а по документам 59...)))",1.0,samolet,novostroy
369,Арина,2019-08-03,"Мне понравилось то, что Самолет работает со многими банками. Это позволило подобрать оптимальные для нашей семьи условия по ипотеке. Оформить ее тоже помогли сотрудники, подготовили и быстро предоставили все нужные бумаги. Никакой волокиты. Все четко и по делу. Кому интересно, купили трехкомнатную в Люберцах.",5.0,samolet,novostroy
370,Виталий Толок,2019-08-01,"Один из немногих застройщиков с именем, который не задирает цены на свои квартиры. Можно подобрать вариант даже при достаточно ограниченном бюджете. Причем всегда предложат то, что действительно тебя устраивает, а не то, что хочется побыстрее продать им. Покупал уже 2 квартиры, и родственники брали, у всех впечатления положительные, никто не плевался и не ругался.",5.0,samolet,novostroy
371,Анастасия Знобищева,2019-07-27,"В прошлом году решила купить квартиру. Долго выбирала где, и у какого застройщика. Выбрала Томилино 2018 самолет . И сейчас только осознала, какую ошибку совершила. Мало того , что у них в обязательном порядке покупаешь дду договор, за который ты отваливаешь 37 с лишним тыс. Так в этом договоре, прописаны весьма сомнительные сроки сдачи жилья, с разницей в полгода! Хотя застройщик со своими менеджерами, обещают тебе самый ранний из прописанных сроков сдачи!!! В которые они естесственно не укладываются ! Обещают сдачу всех корпусов в одно время! При этом из-за того, что они не укладываются в эти сроки, они выдают ключи выборочно по секциям, которые более менее готовы и сляпаны кое как! Лишь бы сдать! Мой корпус оказался вообще огороден и ни о какой сдачи даже речи не идет. На территорию не пускают! В одном корпусе ключи выдают, а к нашему даже подъехать посмотреть снаружи нельзя! Ничего не говорят! Кормят обещаниями и завтраками! Кому дали ключи, квартиры совершенно не готовы и некоторые в ужасном состоянии! В сроки они явно не уложатся! А если и успеют, боюсь представить, что там сдадут! Ужас одним словом! В жизни больше никогда не буду иметь дел с Самолетом! Планирую покупку еще одной квартиры. Ну теперь уже никак ни у этого застройщика! А Самолет если не уложится в самый поздний срок, то буду подавать в суд ! Это просто безобразие. Очень жалею, что выбрала этого застройщика и этот жк!",2.0,samolet,novostroy
372,Ольга,2019-07-19,"Взяли студию от этого застройщика. Про компанию читали очень долго прежде чем решиться с ними сотрудничать. Но слава Богу все удачно. У них хорошо поставлена работа офиса, с менеджерами всегда мы были на связи, созвониться можно было буквально в любое время и по любому вопросу.",5.0,samolet,novostroy
373,Алика,2019-07-09,"Оформила ипотеку на квартиру в ЖК Некрасовка, воспользовавшись акцией, которую предлагает компания – «Ипотечные каникулы». Квартал понравился из-за близости к транспорту (здесь и метро рядом, и Садовое кольцо неподалеку), а также из-за стиля выполнения квартир. Ипотеку оформляла через Сбербанк. Хотя там ставка не самая низкая, но я уже являюсь клиентом этого банка и для меня он удобнее всех предложенных компанией. К тому же отделение Сбербанка есть и рядом с ЖК. К слову, инфраструктура здесь также хорошо развита – и супермаркеты, и школа, и садики, и парикмахерская и много чего другого. Все, что необходимо для жизни есть – для меня идеальный вариант!",5.0,samolet,novostroy
374,Людмила,2019-07-04,"Компания Самолет самая лучшая. Я благодарна, что купила квартиру в Пригороде Лесное от компании Самолет. Я довольна работой менеджеров, они самые культурные. Я хочу, чтобы эта компания только процветала и радовала людей. Кто недоволен данной компанией - люди не благодарные. Есть компании, которые не дают квартир, а обманывают, здесь же все во-время и честно.",5.0,samolet,novostroy
375,Дина,2019-06-29,"Как только посмотрели квартиры, предложенные компанией Самолет Девелопмент, остановили свой выбор на квартире в пригороде Лесное. Очень уютная, светлая, с большими комнатами. Отделка выполнена хорошо, материалы качественные. Сам дом очень красивый. Неподалеку есть супермаркеты, школа, детский сад. Отдохнуть можно в лесу или возле реки, которые лежат совсем неподалеку.",5.0,samolet,novostroy
376,Игорь,2019-06-19,"Живем в Томилино уже больше года и очень довольны выбором. Квартира просторная, светлая, качественно выполнена. Квартал очень яркий и красивый. Дворы с клумбами, возле дорожек вообще много зелени, тихие и спокойные. Наш покой никто не нарушает ни днем, ни ночью. Неподалеку есть лес и река, поэтому в теплое время года часто можно ездить отдыхать на природу, в том числе и с ночевкой.",5.0,samolet,novostroy
377,Настя,2019-06-06,"Приобрели квартиру еще по первой очереди. Выбрали ЖК Люберцы из-за близкого расположения к офису, в котором работает муж. Квартира была готова к заселению для жизни, имелась сантехника, была отделка. Однако, мы еще кое-что доделывали сами из-за личных капризов. Доступность к транспорту здесь не очень удобна (до ближайшего метро добираться 15 мин.), однако есть местная школа для детей. При наличии своего авто, транспорт не становится проблемой.",5.0,samolet,novostroy
378,Татьяна Николаева,2019-06-04,"Очень жалею, что поддалась уговорам менеджеров компании и приобрела здесь жилье. В Люберцы 2018. Дом сдан 42 корпус уже в конце декабря 2018. А отделку в нашем доме никак не могут доделать"" чудо мастера"" подрядной организации, к услугам которой прибегает Самолет. Людей не информируют о ходе работ, наши обращения игнорируют все службы компании. От соседей мы знаем, что в нашем корпусе постоянно меняются интернациональные бригады, а воз и ныне там. Качество отделки, которую сфотографировали активисты, пробравшиеся в корпус, просто ужасное. Компания набрала денег у граждан, пообещав качественное жилье. Но это "" качество""ужасное, мало того, за полгода никак не могут отремонтировать один подъезд.",2.0,samolet,novostroy
379,Наталия Наталия,2019-05-28,"Добрый вечер, уважаемый застройщик! Перестаньте спамить на мой телефон по вопросам покупки квартиры!!! Она уже куплена и оплачивается ипотеке четвертый месяц! Лучше ответьте на вопрос, когда будет сдано, то что уже приобретено???( пока ставлю 4 звезды, но это аванс)",4.0,samolet,novostroy
380,zoya,2019-05-27,"На некоторых площадках о Самолет Девелопмент попадались не очень хорошие отзывы о застройщике. В свою очередь хочу сказать, что лично нашу семью, не разочаровал этот застройщик. Ну, во-первых, цена за квадратный метр, такого класса и расположения вполне нормальная, во-вторых, условия договора выполняется. Кроме того, что немного сроки сместились, больше ничего не могу сказать. в любое время можно подключиться к камере он-лайн и увидеть как ведется работа. Недавно ради интересна смотрела квартиры ЖК Спутник, где и мы купили, в нашем корпусе не так уже много и свободных осталось, народ потихоньку покупает. Больше уверенности придает, что этого застройщика нет брошенных, замороженных проектов, все доводит до конца.",5.0,samolet,novostroy
381,Андрей,2019-05-23,"Когда покупаешь недвижимость в новостройке, то риск хоть минимальный, но остается всегда. Когда оформлял договор с Самолет Девелопмент, прекрасно это понимал. Но и ждать пока дом будет сдаваться, значит заплатить потом за квадратный метр намного больше. В моем случае риск оправдался, купил дешевле, оплатив всю сумму только на начальном этапе строительства. Проект закончен, дом сдан без каких-либо преград. ЖК Люберцы- вариант прекрасный. Метро в 15 минутах ходьбы, школа и сад уже открыты, так что молодые семьи не прогадали, купив здесь жилье. Лично мне все нравится, жалею только о том, что не взял коммерческое помещение, надо было об этом думать сразу. За 1,5 года здесь полностью обжился.",5.0,samolet,novostroy
382,Лариса,2019-05-19,"Доброго времени суток. Купила квартиру в Томилино 2018 (первая очередь). Цена очень ""вкусная"", плюс была возможность отсрочки начала выплаты по ипотеке. При общении с менеджерами, заверили, что крайний срок выдачи ключей февраль 2019г. Надеялась на март, теперь уже июнь-июль. И претензии не предъявишь, т.к. в ДДУ сентябрь 2019г. И менеджеры уже не такие приветливые. Фотоотчеты - курам на смех)) каждую неделю одни и те же фото)) в общем, если планируете покупку, ориентируйтесь на сроки, указанные в ДДУ, на слова менеджеров не опирайтесь.",1.0,samolet,novostroy
383,Анжела,2019-05-10,"Сколько раз мы с мужем просчитывали вариант покупки квартиры, все равно приходили к выводу, что брать новую, в новострое все равно выгоднее. Как никак вторичка требует ремонта, в некоторых случаях глобального. В случае новостроек ты имеешь новую! Квартиру, новый дом, удачные спортивные и детские площадки. Плюс местность, не запыленная Москва. Уже много кто из знакомых предпочел немного дальше жить и с ними солидарна. Самолет предлагает адекватные цены на свои ЖК. Мы ждем в Спутнике!",5.0,samolet,novostroy
384,Ангелина,2019-05-06,"В наше время ипотека может быть не выгодно и в какой-то степени даже рисковано, но мы решили воспользоваться этой возможностью. Иначе купить свое жилье в ближайшее лет пять, а может и больше, мы не сможем. А так, ключи уже имеем на руках, в ближайшее время будет и переезд. Большой вопрос конечно был, где покупать. Зарились и не один раз на вторичное жилье, но после просмотров многих вариантов квартир, решили что если и брать ипотеку, то уже под новое жилье, чтобы не думать о ремонте или о старых стояках, которым ""миллион"" лет. Вот Пригород Лесное пригляделся, хороший жилой комплекс, удобное место расположение, удобные и современные квартиры. Ключи уже имеем, осталось дело за малым, переехать, но это мы уже будем делать в более теплое время года.",5.0,samolet,novostroy
385,Vadim,2019-05-03,"Приобрел себе, в ипотеку, приличную квартиру-студию в жилищном комплексе Томилино. Процент не высокий, платить буду без напряга. Понравилось, что планировка хорошо продумана, а еще сделали качественную отделку в помещениях, мне не пришлось еще и этот вопрос решать, все сделали за меня. Получил ключи, заехал, живу, все нравится. Радует, что отличное расположение у дома. Недалеко метро, вокруг парк, чистый воздух, можно совершать утренние пробежки. Моя квартира расположена на 5 этаже, вид из окон красивый. В здании работает лифт, соседи нормальные. Везде чисто и красиво, дом просто пахнет новизной.",4.0,samolet,novostroy
386,Olesya,2019-04-29,"О приобретении квартиры задумывалась уже давно. Копила средства на покупку. Последний год перебирала варианты того, где бы мне хотелось жить. Информацию искала в интернете и прислушивалась, что говорят люди вокруг, которые уже купили свое жилье. Так я узнала о ЖК Люберцы. Читала у них информацию на сайте. Потом созванивалась с менеджером, ездила смотреть объект (на тот момент дом еще строился). Далее обговорили условия приобретения жилья в ипотеку, с расчетом, что я за 5 лет выплачу всю сумму. Мне помогли подобрать самый интересный вариант процентов. Теперь я владелец своего жилья. Квартирой довольна. Спасибо!",4.0,samolet,novostroy
387,Алексей,2019-04-17,"Приобрели однокомнатную квартиру в ЖК ""Люберцы 2016"" в 2017 году. Оформили все быстро, вопросов нет. Квартира приобреталась для проживания моей Мамы. В марте 2019 Мама умирает. Узнаю у натариуса, что для оформления наследства требуется справка из МФЦ о последнем месте регистрации покойной. Еду в МФЦ, там мне говорят что с Самолетом не заключен договор, и такую справку дать мне не могут. Звоню в Самолет, выясняется что работают они только по будним дням и вторую субботу каждого месяца. Я по будням работаю, следующего приема мне ждать пости месяц. Сотрудники с которыми общался по телефону открыто издеваются, над моим недовольством. В общем сильно сейчас жалею что выбрал данный ЖК.",1.0,samolet,novostroy
388,Игорь Бушуев,2019-02-02,"Перед покупкой начитался отзывов про застройщиков и новостройки, волосы встали дыбом, в том числе и от Самолета. Потом стал ездить по офисам, по объектам, сам смотреть и анализировать (что и вам советую, если хотите купить нормальную квартиру - никого не слушайте, думайте своей головой). Итак, побывав на 6 объектах, я все же взял квартиру в Химках - для меня оптимальное соотношение удобства езды на работу/цены/площади. На что хочу внимание обратить - действительно комфорт-класс, много планировок, есть из чего выбрать, комнаты правильной формы без всяких ""наворотов"", которые съедают тобой оплаченную площадь! Санузлы стандартные, хотелось бы побольше, конечно, но буду обыгрывать пространство заменой ванной на кабину душевую и переносом унитаза к другой стенке, это уже мелочи, короче, зачем я вообще решил потратить свое и ваше время на отзыв - повторюсь, не слушайте никого, жить в квартирах Вам!!!, поэтому и смотреть нужно Вам!!!",4.0,samolet,novostroy
389,елена,2018-12-30,"заключили договор 14.12 на остафьево, обзвонились 28 декабря по всем телефонам, сказали , что можно подъезжать в центральный офис. 20 декабря попали в офис на Ивана Франко в 19.30, была очередь из клиентов, но принимала только одна менеджер, на столах грязные кружки, видно выносили клиентам кофе. Вызвали менеджера по остафьево, вышла молодая девушка с недовольным лицом, сращу сказала, что она по пригороду Лесное и ничего не знает по срокам оплаты, заявив, что 5 дней оплаты начались с дня подписания ДДУ(14.12), уже *капают* прценты. Одновременно общалась с еще одной подошедшей клиенткой, на замечания не реагировала. Абсолютно наплевательское отношение, можно сказать хамское. Ситуацию разъяснил только Владимир Натяжин. Может Вам стоит нанять поопытнее сотрудников, хотя бы повежливее",1.0,samolet,novostroy
390,АЛЕКСАНДР,2018-12-08,Яиз провинции. Приехал в офис на Мякиниской Спутник. Встретила девушка очень грубая. Не только мне грубила. Потом еще двум клиентам очень грубо отвечала. Менджер все объяснила. Меня все устроила. Я даже глаза закрыл на повыещенную коммуналку. Но я не понял логику- платить огромные деньги при этом не быть собственником своего жилья. Иметь только временную прописку на свою собственную квартиру и бояться что могут тебя в любой момент выбросить на улицу. И менеджер ничего не сказал. Толбко тогда когда мне один знакомый риэлтор объяснил все про самолет я звонил менеджеру и она призналась что это так.,1.0,samolet,novostroy
391,Елена,2018-11-10,"И, всё-таки, СПАСИБО! Сначала хотела было подавать в суд на эту компанию за то, что вселили на месяц позже, чем было обещано по договору, но потом остановилась, и решила не подавать. Почему? потому что в общем и целом - не обманули: что обещали, то сделали. Я заехала в квартиру-студию с отделкой, которая была обещана мне три года назад, и которая была явлена во плоти. Обещали обои, ламинат, кафель, ванную с туалетом, мойку и прочая - и выполнили. Я въехала в апреле этого года. Я ахнула от вкуса того, кто планировал все эти цвета: мне все абсолютно понравилось, ничего не раздразило мой глаз. Да, были нюансы, были некоторые огрехи, но с кем не бывает. Главное, я живу в том месте, которое мне было обещано, показано в проекте, и я вижу, как этот проект РЕАЛЬНО осуществляется в жизни нашего микрорайона. Я знаю, что мой отзыв, возможно, вызовет негативную реакцию нашего ""шестого непобедимого"". Кто знает, тот поймет. Но, друзья, я столько лет скиталась по съемным квартирам, я пережила столько дефолтов, что доверие к строительным компаниям уменьшалось не то, что в арифметической, а в геометрической прогрессии. А тут на тебе. Мужик обещал, мужик сделал. Пусть и на месяц позже, но сделал же! Плюс я до сих пор помню то шампанское и конфеты, которые вручил мне менеджер вместе с ключами. Дело в том, что до этого я сказала, что буду судиться. В ответ он только лишь улыбнулся и... все равно вручил. Но мой отзыв - это не маржа за то шампанское (от которого, кстати, на следующий день НЕ болела голова). А просто хочу сказать - СПАСИБО! Спасибо, что не обманули.",5.0,samolet,novostroy
392,Татьяна,2018-09-24,"Нечистоплотность компании выражается в введении в заблуждение потенциальных покупателей о наличии и цене объектов. Предлагаемый вариант по цене меньшей на 600 тысяч рублей объявляют забронированным и у этой ""брони"" нет срока. Кроме того по факту звонка в компанию сообщают о том что совершая звонок, Вы автоматически согласны на обработку персональных данных и рассылку материалов рекламного характера. В целом неприятно растрачивание моих ресурсов и понапрасну.",1.0,samolet,novostroy
393,Людмила,2018-07-31,"Мы с мужем купили двушку в пригород лесное - прагматик-класса, построили все в срок, самим районом ОЧЕНЬ довольны. Были мелкие недочеты на приёмке, один стеклопакет - сам пластик - был с трещиной и так еще несколько моментов по мелочи. Но устранили все за неделю или дней 10. Лично у нас к застройщику нет претензий.",5.0,samolet,novostroy
394,Виктор,2018-07-14,"Дамы и господа! Прошу ответить тех, кто уже живет в апартаментах от Самолета. Какой налог Вы платите за апартаменты 0,5 или 2 % и включены ли придворовые объекты в облагаемую базу. Заранее спасибо.",3.0,samolet,novostroy
395,Евгений Filipov,2018-07-09,"Все нормально , но если какая то проблема в отделке при приемке квартиры , можно ждать вечно исправления дефекта. Сотрудники отфутболивают как могут, лишь бы не к ним приставали с вопросом",1.0,samolet,novostroy
396,Пользователь,2018-07-05,"Проблему по ЖК ОСТАФЬЕВО, решили оперативно!",5.0,samolet,novostroy
397,Пользователь,2018-05-08,"Здравствуйте! Купили квартиру в Люберцах. Сроки все соблюдены. Быстро оформлены документы. Ремонт от застпойщика, конечно так себе, обещали лучше. Одно НО - компания не обмолвилась о проекте строительства мусоросортировочного завода, который сейчас закладывается. И вообще, сдуру не посмотрели какая экологическая обстановка в этом направлении.",3.0,samolet,novostroy
398,Полина Полина Гришина,2018-05-07,"Задумалась о покупке квартиры в ЖК спутник . В начале для меня был один минус - МКАД в 100 метрах ( получаем легкие курильщика ) . Пляж- врятли кто даст прямой выход для жителей, но вид обещает быть нереальным . Что дальше будет рядом построено ( новые корпуса ) - одному богу известно . Начнут когда закончат которые строят сейчас . Спросила агента недвижимости .В ответ получила очень интересную инфу : Компания не плохая много строят и вовремя , но затем после постройки дома сами обслуживают и стоит это очень дорого , у ее клиентов вымогали 120 т р за вывоз мусора после покупки квартиры . А спутник это ещё и апартаменты - значит ни школ, ни садов ,ни прописки не предоставляется и очень высокая коммуналка . Стоит 1000 раз подумать о спутнике ????????????✌????",3.0,samolet,novostroy
399,Слава,2018-02-27,"Хорошая компания, надежная. Сроки задерживают? А вы назовите мне компании которые все точно по срокам выполняют. Это ведь зависит не только от застройщика, но и от их поставщиков, от чиновников и т.д. У нас в стране предсказать с точностью все сроки даже Ванга не сможет.",5.0,samolet,novostroy
